crop_path,label,game,src_image,x1,y1,x2,y2,frame_idx,player_id,role_name,left2right
dataset_v1/crops/game_10_H1__frame_001877__i0__f1877__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1399,522,1475,667,1877,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_001877__i1__f1877__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1524,290,1591,408,1877,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_001877__i2__f1877__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1091,874,1171,1067,1877,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_001877__i3__f1877__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,77,549,126,704,1877,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_001877__i4__f1877__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,185,169,223,269,1877,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_001877__i5__f1877__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,285,133,312,189,1877,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_001877__i6__f1877__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1284,403,1345,522,1877,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_001877__i7__f1877__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1242,152,1305,260,1877,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_001877__i8__f1877__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,401,479,449,621,1877,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_001877__i9__f1877__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,208,670,271,826,1877,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_001877__i10__f1877__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,993,284,1058,411,1877,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_001877__i11__f1877__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,1186,451,1245,582,1877,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_001877__i12__f1877__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_001877.jpg,558,196,604,303,1877,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_002036__i13__f2036__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,1569,462,1641,595,2036,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_002036__i14__f2036__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,1589,208,1647,314,2036,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_002036__i15__f2036__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,615,811,684,975,2036,104,Left Back,1
